Addr	OpCode	OpCode2	Op
01e2	ffff	0000	
01e4	ffff	0000	
01e6	ffff	0000	
01e8	ffff	0000	
01ea	ffff	0000	
01ec	ffff	0000	
01ee	ffff	0000	
01f0	ffff	0000	
01f2	ffff	0000	
01f4	ffff	0000	
01f6	ffff	0000	
01f8	ffff	0000	
01fa	ffff	0000	
01fc	ffff	0000	
01fe	ffff	0000	
0000	0203		RETURN
0001	0203		RETURN
0002	0100		CLEAR
0003	0118	0381	PUSH Bank0[0381]
0005	0201	0019	JUMPZ(POP1) 0019
0007	0100		CLEAR
0008	0118	0381	PUSH Bank0[0381]
000a	0118	0381	PUSH Bank0[0381]
000c	0110	0001	PUSH #0001
000e	0041		PUSH POP2 - POP1
000f	00e0		WRITE BANK POP2 = POP1
0010	0100		CLEAR
0011	0118	0381	PUSH Bank0[0381]
0013	0110	0000	PUSH #0000
0015	0070		PUSH POP2 == POP1
0016	0201	0019	JUMPZ(POP1) 0019
0018	0320		Op320()
0019	0203		RETURN
001a	0100		CLEAR
001b	011c	0000	PUSH Bank0_16bit[0000]
001d	0110	03e8	PUSH #03e8
001f	0063		PUSH POP2 >= POP1
0020	0201	0026	JUMPZ(POP1) 0026
0022	0100		CLEAR
0023	0110	0001	PUSH #0001
0025	0350		SetMeteorTextureEnabled(POP1)
0026	0100		CLEAR
0027	0114	03f2	PUSH Bank0[007e].Bit(2)
0029	0201	0031	JUMPZ(POP1) 0031
002b	0100		CLEAR
002c	0110	0000	PUSH #0000
002e	034b		SetChocoboType(POP1)
002f	0200	005b	JUMP 005b
0031	0100		CLEAR
0032	0114	03f3	PUSH Bank0[007e].Bit(3)
0034	0201	003c	JUMPZ(POP1) 003c
0036	0100		CLEAR
0037	0110	0001	PUSH #0001
0039	034b		SetChocoboType(POP1)
003a	0200	005b	JUMP 005b
003c	0100		CLEAR
003d	0114	03f4	PUSH Bank0[007e].Bit(4)
003f	0201	0047	JUMPZ(POP1) 0047
0041	0100		CLEAR
0042	0110	0002	PUSH #0002
0044	034b		SetChocoboType(POP1)
0045	0200	005b	JUMP 005b
0047	0100		CLEAR
0048	0114	03f5	PUSH Bank0[007e].Bit(5)
004a	0201	0052	JUMPZ(POP1) 0052
004c	0100		CLEAR
004d	0110	0003	PUSH #0003
004f	034b		SetChocoboType(POP1)
0050	0200	005b	JUMP 005b
0052	0100		CLEAR
0053	0114	03f6	PUSH Bank0[007e].Bit(6)
0055	0201	005b	JUMPZ(POP1) 005b
0057	0100		CLEAR
0058	0110	0004	PUSH #0004
005a	034b		SetChocoboType(POP1)
005b	0100		CLEAR
005c	0114	1a83	PUSH Bank0[0350].Bit(3)
005e	0201	0066	JUMPZ(POP1) 0066
0060	0100		CLEAR
0061	0110	0001	PUSH #0001
0063	034c		SetSubmarineType(POP1)
0064	0200	006f	JUMP 006f
0066	0100		CLEAR
0067	0114	1a92	PUSH Bank0[0352].Bit(2)
0069	0201	006f	JUMPZ(POP1) 006f
006b	0100		CLEAR
006c	0110	0000	PUSH #0000
006e	034c		SetSubmarineType(POP1)
006f	0100		CLEAR
0070	011c	0000	PUSH Bank0_16bit[0000]
0072	0110	04af	PUSH #04af
0074	0063		PUSH POP2 >= POP1
0075	0201	009e	JUMPZ(POP1) 009e
0077	0100		CLEAR
0078	0114	03d8	PUSH Bank0[007b].Bit(0)
007a	0201	0098	JUMPZ(POP1) 0098
007c	0100		CLEAR
007d	0114	1c38	PUSH Bank0[0387].Bit(0)
007f	0201	0092	JUMPZ(POP1) 0092
0081	0100		CLEAR
0082	0114	1c34	PUSH Bank0[0386].Bit(4)
0084	0201	008c	JUMPZ(POP1) 008c
0086	0100		CLEAR
0087	0110	0004	PUSH #0004
0089	0349		WorldProgress=POP1
008a	0200	0090	JUMP 0090
008c	0100		CLEAR
008d	0110	0003	PUSH #0003
008f	0349		WorldProgress=POP1
0090	0200	0096	JUMP 0096
0092	0100		CLEAR
0093	0110	0003	PUSH #0003
0095	0349		WorldProgress=POP1
0096	0200	009c	JUMP 009c
0098	0100		CLEAR
0099	0110	0003	PUSH #0003
009b	0349		WorldProgress=POP1
009c	0200	00c6	JUMP 00c6
009e	0100		CLEAR
009f	011c	0000	PUSH Bank0_16bit[0000]
00a1	0110	04ad	PUSH #04ad
00a3	0063		PUSH POP2 >= POP1
00a4	0201	00ac	JUMPZ(POP1) 00ac
00a6	0100		CLEAR
00a7	0110	0003	PUSH #0003
00a9	0349		WorldProgress=POP1
00aa	0200	00c6	JUMP 00c6
00ac	0100		CLEAR
00ad	011c	0000	PUSH Bank0_16bit[0000]
00af	0110	03e8	PUSH #03e8
00b1	0063		PUSH POP2 >= POP1
00b2	0201	00ba	JUMPZ(POP1) 00ba
00b4	0100		CLEAR
00b5	0110	0002	PUSH #0002
00b7	0349		WorldProgress=POP1
00b8	0200	00c6	JUMP 00c6
00ba	0100		CLEAR
00bb	011c	0000	PUSH Bank0_16bit[0000]
00bd	0110	027e	PUSH #027e
00bf	0063		PUSH POP2 >= POP1
00c0	0201	00c6	JUMPZ(POP1) 00c6
00c2	0100		CLEAR
00c3	0110	0001	PUSH #0001
00c5	0349		WorldProgress=POP1
00c6	0100		CLEAR
00c7	011b	0005	PUSH GetSpecial(0005)
00c9	0110	0000	PUSH #0000
00cb	0070		PUSH POP2 == POP1
00cc	0201	083f	JUMPZ(POP1) 083f
00ce	0100		CLEAR
00cf	0114	03db	PUSH Bank0[007b].Bit(3)
00d1	0017		PUSH !POP1
00d2	0201	00dd	JUMPZ(POP1) 00dd
00d4	0100		CLEAR
00d5	0114	1c3c	PUSH Bank0[0387].Bit(4)
00d7	0201	00dd	JUMPZ(POP1) 00dd
00d9	0100		CLEAR
00da	0110	001d	PUSH #001d
00dc	0300		LoadAndInitModel(POP1)
00dd	0100		CLEAR
00de	0114	03d0	PUSH Bank0[007a].Bit(0)
00e0	0017		PUSH !POP1
00e1	0201	00e7	JUMPZ(POP1) 00e7
00e3	0100		CLEAR
00e4	0110	0007	PUSH #0007
00e6	0300		LoadAndInitModel(POP1)
00e7	0100		CLEAR
00e8	0114	03d3	PUSH Bank0[007a].Bit(3)
00ea	0201	00f0	JUMPZ(POP1) 00f0
00ec	0100		CLEAR
00ed	0110	0014	PUSH #0014
00ef	0300		LoadAndInitModel(POP1)
00f0	0100		CLEAR
00f1	0114	03d1	PUSH Bank0[007a].Bit(1)
00f3	0017		PUSH !POP1
00f4	0201	00fa	JUMPZ(POP1) 00fa
00f6	0100		CLEAR
00f7	0110	000f	PUSH #000f
00f9	0300		LoadAndInitModel(POP1)
00fa	0100		CLEAR
00fb	0118	0351	PUSH Bank0[0351]
00fd	0017		PUSH !POP1
00fe	0201	0104	JUMPZ(POP1) 0104
0100	0100		CLEAR
0101	0110	000c	PUSH #000c
0103	0300		LoadAndInitModel(POP1)
0104	0100		CLEAR
0105	011c	0000	PUSH Bank0_16bit[0000]
0107	0110	062c	PUSH #062c
0109	0060		PUSH POP2 < POP1
010a	0201	0110	JUMPZ(POP1) 0110
010c	0100		CLEAR
010d	0110	0018	PUSH #0018
010f	0300		LoadAndInitModel(POP1)
0110	0100		CLEAR
0111	0110	000e	PUSH #000e
0113	0300		LoadAndInitModel(POP1)
0114	0100		CLEAR
0115	0110	0010	PUSH #0010
0117	0300		LoadAndInitModel(POP1)
0118	0100		CLEAR
0119	0110	0019	PUSH #0019
011b	0300		LoadAndInitModel(POP1)
011c	0100		CLEAR
011d	0114	03d8	PUSH Bank0[007b].Bit(0)
011f	0017		PUSH !POP1
0120	0201	012e	JUMPZ(POP1) 012e
0122	0100		CLEAR
0123	011c	0000	PUSH Bank0_16bit[0000]
0125	0110	062c	PUSH #062c
0127	0063		PUSH POP2 >= POP1
0128	0201	012e	JUMPZ(POP1) 012e
012a	0100		CLEAR
012b	0110	000b	PUSH #000b
012d	0300		LoadAndInitModel(POP1)
012e	0100		CLEAR
012f	0114	1a93	PUSH Bank0[0352].Bit(3)
0131	0201	0137	JUMPZ(POP1) 0137
0133	0100		CLEAR
0134	0110	000a	PUSH #000a
0136	0300		LoadAndInitModel(POP1)
0137	0100		CLEAR
0138	0114	03f0	PUSH Bank0[007e].Bit(0)
013a	0201	0140	JUMPZ(POP1) 0140
013c	0100		CLEAR
013d	0110	0004	PUSH #0004
013f	0300		LoadAndInitModel(POP1)
0140	0100		CLEAR
0141	0114	03f2	PUSH Bank0[007e].Bit(2)
0143	0201	0149	JUMPZ(POP1) 0149
0145	0100		CLEAR
0146	0110	0013	PUSH #0013
0148	0300		LoadAndInitModel(POP1)
0149	0100		CLEAR
014a	0114	03f3	PUSH Bank0[007e].Bit(3)
014c	0201	0152	JUMPZ(POP1) 0152
014e	0100		CLEAR
014f	0110	0013	PUSH #0013
0151	0300		LoadAndInitModel(POP1)
0152	0100		CLEAR
0153	0114	03f4	PUSH Bank0[007e].Bit(4)
0155	0201	015b	JUMPZ(POP1) 015b
0157	0100		CLEAR
0158	0110	0013	PUSH #0013
015a	0300		LoadAndInitModel(POP1)
015b	0100		CLEAR
015c	0114	03f5	PUSH Bank0[007e].Bit(5)
015e	0201	0164	JUMPZ(POP1) 0164
0160	0100		CLEAR
0161	0110	0013	PUSH #0013
0163	0300		LoadAndInitModel(POP1)
0164	0100		CLEAR
0165	0114	03f6	PUSH Bank0[007e].Bit(6)
0167	0201	016d	JUMPZ(POP1) 016d
0169	0100		CLEAR
016a	0110	0013	PUSH #0013
016c	0300		LoadAndInitModel(POP1)
016d	0100		CLEAR
016e	0114	0e7f	PUSH Bank0[01cf].Bit(7)
0170	0017		PUSH !POP1
0171	0201	017c	JUMPZ(POP1) 017c
0173	0100		CLEAR
0174	0114	03f8	PUSH Bank0[007f].Bit(0)
0176	0201	017c	JUMPZ(POP1) 017c
0178	0100		CLEAR
0179	0110	0006	PUSH #0006
017b	0300		LoadAndInitModel(POP1)
017c	0100		CLEAR
017d	0114	03fa	PUSH Bank0[007f].Bit(2)
017f	0201	0185	JUMPZ(POP1) 0185
0181	0100		CLEAR
0182	0110	0005	PUSH #0005
0184	0300		LoadAndInitModel(POP1)
0185	0100		CLEAR
0186	0114	03fc	PUSH Bank0[007f].Bit(4)
0188	0201	018e	JUMPZ(POP1) 018e
018a	0100		CLEAR
018b	0110	0003	PUSH #0003
018d	0300		LoadAndInitModel(POP1)
018e	0100		CLEAR
018f	0114	1a83	PUSH Bank0[0350].Bit(3)
0191	0201	0197	JUMPZ(POP1) 0197
0193	0100		CLEAR
0194	0110	000d	PUSH #000d
0196	0300		LoadAndInitModel(POP1)
0197	0100		CLEAR
0198	0114	1a92	PUSH Bank0[0352].Bit(2)
019a	0201	01a0	JUMPZ(POP1) 01a0
019c	0100		CLEAR
019d	0110	000d	PUSH #000d
019f	0300		LoadAndInitModel(POP1)
01a0	0320		Op320()
01a1	0100		CLEAR
01a2	0114	0e7f	PUSH Bank0[01cf].Bit(7)
01a4	0017		PUSH !POP1
01a5	0201	01ab	JUMPZ(POP1) 01ab
01a7	0100		CLEAR
01a8	011b	000e	PUSH GetSpecial(000e)
01aa	0300		LoadAndInitModel(POP1)
01ab	0302		SetCurrentEntityAsPlayerEntity()
01ac	0100		CLEAR
01ad	011b	0006	PUSH GetSpecial(0006)
01af	0110	0000	PUSH #0000
01b1	0070		PUSH POP2 == POP1
01b2	0201	01cc	JUMPZ(POP1) 01cc
01b4	0100		CLEAR
01b5	0114	1a83	PUSH Bank0[0350].Bit(3)
01b7	0201	01c0	JUMPZ(POP1) 01c0
01b9	0100		CLEAR
01ba	0110	000d	PUSH #000d
01bc	0300		LoadAndInitModel(POP1)
01bd	030c		EnterVehicle()
01be	0200	01ca	JUMP 01ca
01c0	0100		CLEAR
01c1	0114	1a92	PUSH Bank0[0352].Bit(2)
01c3	0201	01ca	JUMPZ(POP1) 01ca
01c5	0100		CLEAR
01c6	0110	000d	PUSH #000d
01c8	0300		LoadAndInitModel(POP1)
01c9	030c		EnterVehicle()
01ca	0200	083d	JUMP 083d
01cc	0100		CLEAR
01cd	011b	0006	PUSH GetSpecial(0006)
01cf	0110	0001	PUSH #0001
01d1	0070		PUSH POP2 == POP1
01d2	0201	01e6	JUMPZ(POP1) 01e6
01d4	0100		CLEAR
01d5	0110	0016	PUSH #0016
01d7	0110	000f	PUSH #000f
01d9	0308		ActiveEntity.SetMeshCoordsXZ(POP2, POP1)
01da	0100		CLEAR
01db	0110	1524	PUSH #1524
01dd	0110	01bd	PUSH #01bd
01df	0309		ActiveEntity.SetCoordsInMeshXZ(POP2, POP1)
01e0	0100		CLEAR
01e1	0110	0000	PUSH #0000
01e3	0304		ActiveEntity.SetDirectionAndFacing(POP1)
01e4	0200	083d	JUMP 083d
01e6	0100		CLEAR
01e7	011b	0006	PUSH GetSpecial(0006)
01e9	0110	0002	PUSH #0002
01eb	0070		PUSH POP2 == POP1
01ec	0201	0200	JUMPZ(POP1) 0200
01ee	0100		CLEAR
01ef	0110	0018	PUSH #0018
01f1	0110	000d	PUSH #000d
01f3	0308		ActiveEntity.SetMeshCoordsXZ(POP2, POP1)
01f4	0100		CLEAR
01f5	0110	13d6	PUSH #13d6
01f7	0110	1920	PUSH #1920
01f9	0309		ActiveEntity.SetCoordsInMeshXZ(POP2, POP1)
01fa	0100		CLEAR
01fb	0110	0000	PUSH #0000
01fd	0304		ActiveEntity.SetDirectionAndFacing(POP1)
01fe	0200	083d	JUMP 083d
0200	0100		CLEAR
0201	011b	0006	PUSH GetSpecial(0006)
0203	0110	0003	PUSH #0003
0205	0070		PUSH POP2 == POP1
0206	0201	025b	JUMPZ(POP1) 025b
0208	0100		CLEAR
0209	0114	03f1	PUSH Bank0[007e].Bit(1)
020b	0201	0249	JUMPZ(POP1) 0249
020d	0100		CLEAR
020e	0114	03f0	PUSH Bank0[007e].Bit(0)
0210	0201	0217	JUMPZ(POP1) 0217
0212	0100		CLEAR
0213	0110	0004	PUSH #0004
0215	0300		LoadAndInitModel(POP1)
0216	030c		EnterVehicle()
0217	0100		CLEAR
0218	0114	03f2	PUSH Bank0[007e].Bit(2)
021a	0201	0221	JUMPZ(POP1) 0221
021c	0100		CLEAR
021d	0110	0013	PUSH #0013
021f	0300		LoadAndInitModel(POP1)
0220	030c		EnterVehicle()
0221	0100		CLEAR
0222	0114	03f3	PUSH Bank0[007e].Bit(3)
0224	0201	022b	JUMPZ(POP1) 022b
0226	0100		CLEAR
0227	0110	0013	PUSH #0013
0229	0300		LoadAndInitModel(POP1)
022a	030c		EnterVehicle()
022b	0100		CLEAR
022c	0114	03f4	PUSH Bank0[007e].Bit(4)
022e	0201	0235	JUMPZ(POP1) 0235
0230	0100		CLEAR
0231	0110	0013	PUSH #0013
0233	0300		LoadAndInitModel(POP1)
0234	030c		EnterVehicle()
0235	0100		CLEAR
0236	0114	03f5	PUSH Bank0[007e].Bit(5)
0238	0201	023f	JUMPZ(POP1) 023f
023a	0100		CLEAR
023b	0110	0013	PUSH #0013
023d	0300		LoadAndInitModel(POP1)
023e	030c		EnterVehicle()
023f	0100		CLEAR
0240	0114	03f6	PUSH Bank0[007e].Bit(6)
0242	0201	0249	JUMPZ(POP1) 0249
0244	0100		CLEAR
0245	0110	0013	PUSH #0013
0247	0300		LoadAndInitModel(POP1)
0248	030c		EnterVehicle()
0249	0100		CLEAR
024a	0110	001d	PUSH #001d
024c	0110	0010	PUSH #0010
024e	0308		ActiveEntity.SetMeshCoordsXZ(POP2, POP1)
024f	0100		CLEAR
0250	0110	0712	PUSH #0712
0252	0110	1d23	PUSH #1d23
0254	0309		ActiveEntity.SetCoordsInMeshXZ(POP2, POP1)
0255	0100		CLEAR
0256	0110	0000	PUSH #0000
0258	0304		ActiveEntity.SetDirectionAndFacing(POP1)
0259	0200	083d	JUMP 083d
025b	0100		CLEAR
025c	011b	0006	PUSH GetSpecial(0006)
025e	0110	0004	PUSH #0004
0260	0070		PUSH POP2 == POP1
0261	0201	0275	JUMPZ(POP1) 0275
0263	0100		CLEAR
0264	0110	001a	PUSH #001a
0266	0110	0012	PUSH #0012
0268	0308		ActiveEntity.SetMeshCoordsXZ(POP2, POP1)
0269	0100		CLEAR
026a	0110	073d	PUSH #073d
026c	0110	15ba	PUSH #15ba
026e	0309		ActiveEntity.SetCoordsInMeshXZ(POP2, POP1)
026f	0100		CLEAR
0270	0110	0060	PUSH #0060
0272	0304		ActiveEntity.SetDirectionAndFacing(POP1)
0273	0200	083d	JUMP 083d
0275	0100		CLEAR
0276	011b	0006	PUSH GetSpecial(0006)
0278	0110	0005	PUSH #0005
